id,handle,followers_count,friends_count,isProxy
0,"derspiegel",3104567,354,0
1,"tagesschau",3883675,325,0
2,"BILD",1956989,432,0
3,"niggi",322368,1412,0
4,"SPIEGEL_EIL",1897472,25,0
5,"1LIVE",552402,875,0
6,"horn",25037,1369,0
7,"Medienmann",7075,1042,0
8,"extra3",1090278,2886,0
9,"DASDING",31561,1479,0
10,"janboehm",2704425,2238,0
11,"swr3",147303,300,0
12,"MartinSonneborn",331586,0,0
13,"tagesschau_eil",560046,1,0
14,"SWRAktuellBW",86310,818,0
15,"Coumodo",17,40,0
16,"PBurghardt",2331,1521,0
17,"gunkelchen",166,577,0
18,"marcelbohn",93,389,0
19,"boohoomusic",41,0,0
20,"MickyBeisenherz",302818,3266,0
21,"dpa",428940,1388,0
22,"henrik_vt",208,263,0
23,"elonmusk",113691049,127,0
24,"Bundesliga_DE",2406248,42,0
25,"barbcore",2210,753,0
26,"skladno",6,12,0
27,"DiePARTEI",218631,363,0
28,"Der_Postillon",1359213,188,0
29,"RadioRuessel",344,179,0
30,"Eintracht",583974,169,0
31,"Karsten89",40,262,0
32,"Dieser_Schlecky",25559,264,0
33,"RegierungBW",95199,1295,0
34,"Le_Connecteur",13,150,0
35,"AuschwitzMuseum",1408509,2451,0
36,"naiceshaice",5,0,0
37,"mitschelfenn",3,11,0
38,"ZarembaMarco",188,376,0
39,"elhotzo",487425,656,0
40,"juschellong",123,341,0
41,"IDARecherche",26,2,0
42,"maithi_nk",456915,1091,0
43,"WWazilly",3,19,0
44,"StefanTroendle",1449,1515,0
45,"zdfmagazin",816806,3,0
46,"tperlen",96060,501,0
47,"Schalla_Ranks",61,141,0
48,"elifcugali",13,199,0
49,"FrauRausch",1,18,0
50,"WohlklangStudio",21,16,0
51,"Consiquent",890,344,0
52,"ThomasHitz",239896,1448,0
53,"Eigenbroeckler",867,442,0
54,"RandyWatson3000",6,83,0
55,"Floskelwolke",21170,2,0
56,"heuteshow",1569606,13,0
57,"SchmidtJoost",114,357,0
58,"kylecarolin",14,38,0
59,"njroloff",1189,1055,0
60,"_undirt",10,407,0
61,"DanielIsengard",152,475,0
62,"marierose_60",127,773,0
63,"joefilmt",159,85,0
64,"aschowalter76",42,45,0
65,"montalwagner",7,60,0
66,"VonFbisZ",44,370,0
67,"durchgezaehlt",3582,27,0
68,"Karl_Lauterbach",1075621,309,0
69,"SchlossHambach",862,819,0
70,"uebermedien",91074,213,0
71,"vickymerkulova",179,358,0
72,"nettelbert",107,864,0
73,"Jana61079851",3,11,0
74,"ABaerbock",535298,74,0
75,"ShahakShapira",210668,117,0
76,"ueber_haupt",5,126,0
77,"martinafuehrer",9,35,0
78,"DaWeeNa3",6,25,0
79,"Leh_va_",2,13,0
80,"phelikks",2,59,0